Sexo;Edad;Periodo;superviviente_total;superviviente_hombre;superviviente_mujer;esperanza_total;esperanza_hombre;esperanza_mujer
Ambos sexos;100 y más años;2012;2508,023462;1290,193839;3581,342158;1,910357;1,746099;1,95214
Ambos sexos;100 y más años;2011;2748,54894;1457,888109;3882,026807;1,913484;1,746556;1,956176
Ambos sexos;100 y más años;2010;2559,994056;1284,381121;3683,594854;1,87634;1,798116;1,896225
Ambos sexos;100 y más años;2009;2192,305982;1123,001823;3137,883336;1,929995;1,71196;1,985318
Ambos sexos;100 y más años;2008;1849,107312;897,863805;2688,367656;1,925936;1,848861;1,94597
Ambos sexos;100 y más años;2007;1659,165576;789,024802;2450,029741;2,001361;2,01867;1,997344
Ambos sexos;100 y más años;2006;1772,860473;870,279375;2584,232658;1,845578;1,761468;1,868692
Ambos sexos;100 y más años;2005;1214,564131;579,899132;1800,649545;1,861571;1,719941;1,897423
Ambos sexos;100 y más años;2004;1496,324043;694,950936;2231,370617;1,832861;1,779333;1,847542
Ambos sexos;100 y más años;2003;1095,025833;517,922758;1630,825813;1,745327;1,567436;1,792275
Ambos sexos;100 y más años;2002;1313,927449;650,335352;1929,031641;1,791224;1,566046;1,848537
Ambos sexos;100 y más años;2001;1413,482135;652,943968;2120,966458;1,733559;1,539365;1,791401
Ambos sexos;100 y más años;2000;1178,064396;530,857806;1782,365452;1,90603;1,739621;1,957547
Ambos sexos;100 y más años;1999;684,559932;306,724162;1047,466139;1,94311;1,833358;1,970548
Ambos sexos;100 y más años;1998;632,572266;262,857103;987,763821;1,851802;1,715557;1,891373
Ambos sexos;100 y más años;1997;627,349465;246,216608;988,105031;2,01339;1,837556;2,068315
Ambos sexos;100 y más años;1996;559,500149;235,767428;869,103472;1,967972;2,03881;1,950576
Ambos sexos;100 y más años;1995;634,557446;320,62376;932,671633;1,979318;1,705508;2,049209
Ambos sexos;100 y más años;1994;724,176631;304,59748;1122,218936;1,99771;1,860441;2,035567
Ambos sexos;100 y más años;1993;740,54086;383,526513;1080,724151;1,958609;1,691279;2,039206
Ambos sexos;100 y más años;1992;796,113924;418,967415;1153,7054;2,03526;2,028111;2,037387
Ambos sexos;100 y más años;1991;684,073051;307,967784;1042,109365;1,909421;2,029861;1,873391
